id,tubeid,potid,gridid,species,burrow,crack,root,worms,voidtype,day
T33_11C-88,33,T33_11C,88,CAMROT,0,0,0,absent,soil,29
T6_2C-63,6,T6_2C,63,CAMROT,0,0,0,absent,soil,29
T18_6E-51,18,T18_6E,51,CAMROT,0,0,0,absent,soil,29
T18_6E-25,18,T18_6E,25,CAMROT,0,0,0,absent,soil,29
T33_11A-91,33,T33_11A,91,ACHMIL,0,0,0,absent,soil,29
T12_4C-42,12,T12_4C,42,CAMROT,0,0,0,absent,soil,29
T27_9A-12,27,T27_9A,12,CAMROT,0,0,0,absent,soil,29
T21_7D-109,21,T21_7D,109,ACHMIL,0,0,0,absent,soil,29
T6_2E-68,6,T6_2E,68,CAMROT,0,0,0,absent,soil,29
T12_4A-90,12,T12_4A,90,ACHMIL,0,0,0,absent,soil,29
T9_3C-35,9,T9_3C,35,ACHMIL,0,0,0,absent,soil,29
T21_7A-70,21,T21_7A,70,ACHMIL,0,0,0,absent,soil,29
T33_11B-30,33,T33_11B,30,ACHMIL,0,0,0,absent,soil,29
T33_11D-44,33,T33_11D,44,CAMROT,0,0,0,absent,soil,29
T33_11D-96,33,T33_11D,96,CAMROT,0,0,0,absent,soil,29
T24_8A-100,24,T24_8A,100,ACHMIL,0,0,0,absent,soil,29
T21_7B-9,21,T21_7B,9,CAMROT,0,0,0,absent,soil,29
T33_11D-60,33,T33_11D,60,CAMROT,0,0,0,absent,soil,29
T15_5D-37,15,T15_5D,37,CAMROT,0,0,0,absent,soil,29
T21_7A-67,21,T21_7A,67,ACHMIL,0,0,0,absent,soil,29
T36_12A-70,36,T36_12A,70,ACHMIL,0,0,0,absent,soil,29
T33_11C-98,33,T33_11C,98,CAMROT,0,0,0,absent,soil,29
T27_9A-43,27,T27_9A,43,CAMROT,0,0,0,absent,soil,29
T21_7B-15,21,T21_7B,15,CAMROT,0,0,0,absent,soil,29
T15_5D-85,15,T15_5D,85,CAMROT,0,0,0,absent,soil,29
T21_7E-79,21,T21_7E,79,CAMROT,0,0,0,absent,soil,29
T3_1B-63,3,T3_1B,63,ACHMIL,0,0,0,absent,soil,29
T6_2A-78,6,T6_2A,78,ACHMIL,0,0,0,absent,soil,29
T33_11D-18,33,T33_11D,18,CAMROT,0,0,0,absent,soil,29
T33_11B-77,33,T33_11B,77,ACHMIL,0,0,0,absent,soil,29
T12_4C-37,12,T12_4C,37,CAMROT,0,0,0,absent,soil,29
